instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,demand_cluster
8152,2011-12-11,Winter,0,December,7,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,7.38,12.12,55.0,0.0,1,30,31,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8153,2011-12-11,Winter,0,December,8,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,6.56,11.36,69.0,0.0,4,68,72,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8154,2011-12-11,Winter,0,December,9,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,8.2,12.88,59.0,0.0,19,88,107,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8155,2011-12-11,Winter,0,December,10,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.4,44.0,0.0,30,164,194,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8156,2011-12-11,Winter,0,December,11,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,10.66,15.15,35.0,0.0,31,166,197,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8157,2011-12-11,Winter,0,December,12,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,10.66,15.15,35.0,0.0,42,246,288,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8158,2011-12-11,Winter,0,December,13,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.3,16.66,31.0,0.0,44,224,268,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8159,2011-12-11,Winter,0,December,14,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.3,16.66,28.0,0.0,44,198,242,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8160,2011-12-11,Winter,0,December,15,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.3,16.66,26.0,0.0,47,219,266,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8161,2011-12-11,Winter,0,December,16,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.3,16.66,26.0,0.0,32,174,206,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8162,2011-12-11,Winter,0,December,17,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,11.48,15.91,30.0,0.0,13,150,163,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8163,2011-12-11,Winter,0,December,18,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.84,11.36,48.0,13.0,12,151,163,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8164,2011-12-11,Winter,0,December,19,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,11.36,55.0,13.0,7,98,105,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8165,2011-12-11,Winter,0,December,20,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,12.12,55.0,7.0,10,62,72,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8166,2011-12-11,Winter,0,December,21,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.64,55.0,0.0,10,53,63,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8167,2011-12-11,Winter,0,December,22,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.64,55.0,0.0,7,36,43,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8168,2011-12-11,Winter,0,December,23,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,8.2,12.88,69.0,0.0,4,31,35,345,Winter,2011,December,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.05,12.66,49.0,4.46,377,2366,2743,Low Demand
8169,2011-12-12,Winter,0,December,0,No,Monday,Working Day,Clear/Partly Cloudy,8.2,11.36,69.0,6.0,4,16,20,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8170,2011-12-12,Winter,0,December,1,No,Monday,Working Day,Clear/Partly Cloudy,8.2,12.88,69.0,0.0,0,9,9,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8171,2011-12-12,Winter,0,December,2,No,Monday,Working Day,Clear/Partly Cloudy,8.2,12.88,69.0,0.0,0,4,4,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8172,2011-12-12,Winter,0,December,3,No,Monday,Working Day,Clear/Partly Cloudy,7.38,12.12,74.0,0.0,0,2,2,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8173,2011-12-12,Winter,0,December,4,No,Monday,Working Day,Clear/Partly Cloudy,7.38,12.12,74.0,0.0,0,3,3,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8174,2011-12-12,Winter,0,December,5,No,Monday,Working Day,Clear/Partly Cloudy,6.56,11.36,80.0,0.0,0,21,21,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8175,2011-12-12,Winter,0,December,6,No,Monday,Working Day,Clear/Partly Cloudy,6.56,9.09,80.0,7.0,1,63,64,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8176,2011-12-12,Winter,0,December,7,No,Monday,Working Day,Clear/Partly Cloudy,5.74,7.58,86.0,9.0,4,231,235,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8177,2011-12-12,Winter,0,December,8,No,Monday,Working Day,Misty/Cloudy,6.56,9.09,80.0,7.0,7,378,385,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8178,2011-12-12,Winter,0,December,9,No,Monday,Working Day,Misty/Cloudy,7.38,10.6,74.0,6.0,12,208,220,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8179,2011-12-12,Winter,0,December,10,No,Monday,Working Day,Misty/Cloudy,9.02,12.12,69.0,7.0,14,91,105,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8180,2011-12-12,Winter,0,December,11,No,Monday,Working Day,Misty/Cloudy,10.66,14.4,60.0,6.0,15,100,115,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8181,2011-12-12,Winter,0,December,12,No,Monday,Working Day,Clear/Partly Cloudy,11.48,14.4,52.0,7.0,7,138,145,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8182,2011-12-12,Winter,0,December,13,No,Monday,Working Day,Misty/Cloudy,12.3,15.91,52.0,7.0,13,153,166,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8183,2011-12-12,Winter,0,December,14,No,Monday,Working Day,Misty/Cloudy,13.12,16.66,53.0,9.0,16,95,111,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8184,2011-12-12,Winter,0,December,15,No,Monday,Working Day,Misty/Cloudy,13.12,16.66,57.0,7.0,8,124,132,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8185,2011-12-12,Winter,0,December,16,No,Monday,Working Day,Misty/Cloudy,13.12,16.66,57.0,6.0,5,209,214,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8186,2011-12-12,Winter,0,December,17,No,Monday,Working Day,Misty/Cloudy,12.3,16.66,56.0,0.0,7,352,359,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8187,2011-12-12,Winter,0,December,18,No,Monday,Working Day,Clear/Partly Cloudy,12.3,15.91,56.0,6.0,8,349,357,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8188,2011-12-12,Winter,0,December,19,No,Monday,Working Day,Clear/Partly Cloudy,11.48,15.15,61.0,6.0,9,232,241,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8189,2011-12-12,Winter,0,December,20,No,Monday,Working Day,Clear/Partly Cloudy,12.3,15.91,56.0,6.0,8,157,165,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8190,2011-12-12,Winter,0,December,21,No,Monday,Working Day,Clear/Partly Cloudy,10.66,15.15,81.0,0.0,2,119,121,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8191,2011-12-12,Winter,0,December,22,No,Monday,Working Day,Clear/Partly Cloudy,10.66,15.15,70.0,0.0,0,71,71,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8192,2011-12-12,Winter,0,December,23,No,Monday,Working Day,Clear/Partly Cloudy,9.84,14.4,75.0,0.0,3,42,45,346,Winter,2011,December,No,Monday,Working Day,Clear/Partly Cloudy,9.77,13.51,67.08,4.25,143,3167,3310,Low Demand
8193,2011-12-13,Winter,0,December,0,No,Tuesday,Working Day,Clear/Partly Cloudy,9.02,13.64,80.0,0.0,1,16,17,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8194,2011-12-13,Winter,0,December,1,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,12.88,80.0,0.0,0,4,4,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8195,2011-12-13,Winter,0,December,2,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,12.88,80.0,0.0,1,1,2,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8196,2011-12-13,Winter,0,December,3,No,Tuesday,Working Day,Clear/Partly Cloudy,7.38,12.12,80.0,0.0,0,3,3,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8197,2011-12-13,Winter,0,December,4,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,12.88,80.0,0.0,0,4,4,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8198,2011-12-13,Winter,0,December,5,No,Tuesday,Working Day,Clear/Partly Cloudy,7.38,12.12,86.0,0.0,0,20,20,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8199,2011-12-13,Winter,0,December,6,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,12.88,80.0,0.0,0,92,92,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8200,2011-12-13,Winter,0,December,7,No,Tuesday,Working Day,Clear/Partly Cloudy,6.56,8.33,80.0,11.0,2,221,223,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8201,2011-12-13,Winter,0,December,8,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,11.36,69.0,7.0,9,391,400,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8202,2011-12-13,Winter,0,December,9,No,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.88,60.0,11.0,10,223,233,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8203,2011-12-13,Winter,0,December,10,No,Tuesday,Working Day,Clear/Partly Cloudy,12.3,15.15,52.0,11.0,3,99,102,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8204,2011-12-13,Winter,0,December,11,No,Tuesday,Working Day,Clear/Partly Cloudy,13.94,15.91,46.0,17.0,9,115,124,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8205,2011-12-13,Winter,0,December,12,No,Tuesday,Working Day,Clear/Partly Cloudy,14.76,16.66,43.0,24.0,20,147,167,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8206,2011-12-13,Winter,0,December,13,No,Tuesday,Working Day,Clear/Partly Cloudy,16.4,20.46,37.0,22.0,7,120,127,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8207,2011-12-13,Winter,0,December,14,No,Tuesday,Working Day,Clear/Partly Cloudy,16.4,20.46,37.0,17.0,18,116,134,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8208,2011-12-13,Winter,0,December,15,No,Tuesday,Working Day,Clear/Partly Cloudy,16.4,20.46,35.0,17.0,7,144,151,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8209,2011-12-13,Winter,0,December,16,No,Tuesday,Working Day,Clear/Partly Cloudy,15.58,19.7,37.0,17.0,13,194,207,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8210,2011-12-13,Winter,0,December,17,No,Tuesday,Working Day,Clear/Partly Cloudy,14.76,17.42,40.0,13.0,17,381,398,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8211,2011-12-13,Winter,0,December,18,No,Tuesday,Working Day,Clear/Partly Cloudy,13.94,15.91,42.0,15.0,12,370,382,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8212,2011-12-13,Winter,0,December,19,No,Tuesday,Working Day,Clear/Partly Cloudy,13.12,15.91,49.0,11.0,5,262,267,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8213,2011-12-13,Winter,0,December,20,No,Tuesday,Working Day,Clear/Partly Cloudy,13.12,15.91,49.0,11.0,7,154,161,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8214,2011-12-13,Winter,0,December,21,No,Tuesday,Working Day,Clear/Partly Cloudy,12.3,15.15,52.0,11.0,5,134,139,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8215,2011-12-13,Winter,0,December,22,No,Tuesday,Working Day,Clear/Partly Cloudy,12.3,15.15,52.0,11.0,5,102,107,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8216,2011-12-13,Winter,0,December,23,No,Tuesday,Working Day,Clear/Partly Cloudy,10.66,15.15,70.0,0.0,4,55,59,347,Winter,2011,December,No,Tuesday,Working Day,Clear/Partly Cloudy,11.58,15.06,59.0,9.42,155,3368,3523,Low Demand
8217,2011-12-14,Winter,0,December,0,No,Wednesday,Working Day,Clear/Partly Cloudy,10.66,15.15,75.0,0.0,0,22,22,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8218,2011-12-14,Winter,0,December,1,No,Wednesday,Working Day,Clear/Partly Cloudy,10.66,15.15,75.0,0.0,0,8,8,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8219,2011-12-14,Winter,0,December,2,No,Wednesday,Working Day,Clear/Partly Cloudy,10.66,15.15,75.0,0.0,0,2,2,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8220,2011-12-14,Winter,0,December,3,No,Wednesday,Working Day,Clear/Partly Cloudy,11.48,15.91,65.0,0.0,0,3,3,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8221,2011-12-14,Winter,0,December,4,No,Wednesday,Working Day,Clear/Partly Cloudy,10.66,15.15,75.0,0.0,0,4,4,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8222,2011-12-14,Winter,0,December,5,No,Wednesday,Working Day,Misty/Cloudy,10.66,15.15,81.0,0.0,0,26,26,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8223,2011-12-14,Winter,0,December,6,No,Wednesday,Working Day,Misty/Cloudy,10.66,15.15,87.0,0.0,0,87,87,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8224,2011-12-14,Winter,0,December,7,No,Wednesday,Working Day,Clear/Partly Cloudy,11.48,15.91,75.0,0.0,4,243,247,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8225,2011-12-14,Winter,0,December,8,No,Wednesday,Working Day,Misty/Cloudy,10.66,15.15,87.0,0.0,9,458,467,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8226,2011-12-14,Winter,0,December,9,No,Wednesday,Working Day,Misty/Cloudy,12.3,16.66,61.0,0.0,9,230,239,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8227,2011-12-14,Winter,0,December,10,No,Wednesday,Working Day,Misty/Cloudy,13.12,17.42,57.0,0.0,9,133,142,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8228,2011-12-14,Winter,0,December,11,No,Wednesday,Working Day,Misty/Cloudy,13.94,18.18,55.0,0.0,12,103,115,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8229,2011-12-14,Winter,0,December,12,No,Wednesday,Working Day,Misty/Cloudy,14.76,18.18,57.0,6.0,6,138,144,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8230,2011-12-14,Winter,0,December,13,No,Wednesday,Working Day,Misty/Cloudy,14.76,18.18,57.0,7.0,14,119,133,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8231,2011-12-14,Winter,0,December,14,No,Wednesday,Working Day,Misty/Cloudy,15.58,19.7,54.0,6.0,17,134,151,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8232,2011-12-14,Winter,0,December,15,No,Wednesday,Working Day,Misty/Cloudy,15.58,19.7,54.0,7.0,24,143,167,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8233,2011-12-14,Winter,0,December,16,No,Wednesday,Working Day,Misty/Cloudy,15.58,19.7,54.0,7.0,12,233,245,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8234,2011-12-14,Winter,0,December,17,No,Wednesday,Working Day,Misty/Cloudy,14.76,18.18,57.0,7.0,19,377,396,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8235,2011-12-14,Winter,0,December,18,No,Wednesday,Working Day,Misty/Cloudy,14.76,17.42,62.0,11.0,11,379,390,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8236,2011-12-14,Winter,0,December,19,No,Wednesday,Working Day,Misty/Cloudy,14.76,18.18,62.0,7.0,9,259,268,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8237,2011-12-14,Winter,0,December,20,No,Wednesday,Working Day,Misty/Cloudy,13.94,17.42,66.0,7.0,6,169,175,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8238,2011-12-14,Winter,0,December,21,No,Wednesday,Working Day,Misty/Cloudy,13.94,16.66,66.0,11.0,9,145,154,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8239,2011-12-14,Winter,0,December,22,No,Wednesday,Working Day,Clear/Partly Cloudy,13.94,16.66,66.0,11.0,5,99,104,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8240,2011-12-14,Winter,0,December,23,No,Wednesday,Working Day,Clear/Partly Cloudy,13.12,15.91,70.0,11.0,3,48,51,348,Winter,2011,December,No,Wednesday,Working Day,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740,Low Demand
8241,2011-12-15,Winter,0,December,0,No,Thursday,Working Day,Clear/Partly Cloudy,13.12,15.91,70.0,11.0,5,45,50,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8242,2011-12-15,Winter,0,December,1,No,Thursday,Working Day,Misty/Cloudy,13.12,15.91,70.0,11.0,5,15,20,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8243,2011-12-15,Winter,0,December,2,No,Thursday,Working Day,Misty/Cloudy,13.12,16.66,70.0,9.0,2,5,7,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8244,2011-12-15,Winter,0,December,3,No,Thursday,Working Day,Misty/Cloudy,13.12,16.66,70.0,9.0,1,2,3,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8245,2011-12-15,Winter,0,December,4,No,Thursday,Working Day,Misty/Cloudy,13.12,15.15,70.0,15.0,0,6,6,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8246,2011-12-15,Winter,0,December,5,No,Thursday,Working Day,Misty/Cloudy,13.12,15.15,70.0,19.0,0,24,24,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8247,2011-12-15,Winter,0,December,6,No,Thursday,Working Day,Clear/Partly Cloudy,13.12,15.91,66.0,13.0,2,90,92,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8248,2011-12-15,Winter,0,December,7,No,Thursday,Working Day,Clear/Partly Cloudy,13.12,15.91,70.0,13.0,6,252,258,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8249,2011-12-15,Winter,0,December,8,No,Thursday,Working Day,Misty/Cloudy,13.94,15.91,66.0,15.0,8,449,457,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8250,2011-12-15,Winter,0,December,9,No,Thursday,Working Day,Misty/Cloudy,14.76,16.66,62.0,19.0,6,274,280,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8251,2011-12-15,Winter,0,December,10,No,Thursday,Working Day,Misty/Cloudy,16.4,20.46,58.0,20.0,4,105,109,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8252,2011-12-15,Winter,0,December,11,No,Thursday,Working Day,Misty/Cloudy,16.4,20.46,62.0,28.0,9,126,135,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8253,2011-12-15,Winter,0,December,12,No,Thursday,Working Day,Misty/Cloudy,18.86,22.72,59.0,33.0,17,140,157,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
8254,2011-12-15,Winter,0,December,13,No,Thursday,Working Day,Misty/Cloudy,20.5,24.24,55.0,24.0,14,150,164,349,Winter,2011,December,No,Thursday,Working Day,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709,Low Demand
